,date,price,description,location,bedrooms,bathrooms,land,floor
683,03/07/2024,Rp9 Miliar,"Rumah Puripanda Townhouse Laut Banda, Duren Sawit, Jakarta Timur","Duren Sawit, Jakarta Timur",6,7,356 m²,361 m²
684,03/07/2024,"Rp12,5 Miliar","Rumah Jl. Emesde Cilandak, Jakarta Selatan","Cilandak, Jakarta Selatan",4,3,625 m²,500 m²
685,03/07/2024,"Rp1,65 Miliar","Rumah Komplek Daan Mogot Estate Cengkareng, Jakarta Barat","Kali Deres, Jakarta Barat",4,3,120 m²,90 m²
686,03/07/2024,"Rp2,2 Miliar","Rumah Jl. Mawar Kayu Putih, Pulo Gadung, Jakarta Timur","Pulo Gadung, Jakarta Timur",4,6,157 m²,300 m²
687,03/07/2024,"Rp22,5 Miliar","Rumah Jl. Danau Indah Barat Sunter Jaya, Jakarta Utara","Tanjung Priok, Jakarta Utara",8,7,529 m²,530 m²
688,03/07/2024,"Rp5,2 Miliar","Rumah Sunter Garden Sunter, Jakarta Utara","Tanjung Priok, Jakarta Utara",5,2,229 m²,360 m²
689,03/07/2024,Rp5 Miliar,"Rumah Sawah Lio Raya Jembatan Lima, Tambora, Jakarta Barat","Grogol Petamburan, Jakarta Barat",1,1,283 m²,1 m²
690,03/07/2024,"Rp6,8 Miliar","Rumah Sedayu City Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",3,2,120 m²,168 m²
691,03/07/2024,"Rp1,65 Miliar","Rumah Komplek Daan Mogot Estate Cengkareng, Jakarta Barat","Kali Deres, Jakarta Barat",4,3,120 m²,90 m²
692,03/07/2024,"Rp6,8 Miliar","Rumah Sedayu City Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",3,2,120 m²,168 m²
693,03/07/2024,Rp2 Miliar,"Rumah Jl. Anggrek Cengkareng, Jakarta Barat","Cengkareng, Jakarta Barat",4,3,93 m²,165 m²
